stop_id,stop_name,stop_lat,stop_lon
02521,Wellington St. E. @ Mary St.,44.0031967,-79.451149
02520,Wellington St. E. @ John West Way,44.0035057,-79.4506836
02519,Guelph Central GO Bus,43.544932,-80.246388
02518,MacDonell St. @ Carden St. (Guelph Central GO),43.5463142,-80.2452316
02513,Blind Line @ College Ave.,43.9221954,-80.1162033
02512,Blind Line @ Hansen Blvd.,43.9247589,-80.1168442
02508,Derry Rd. W. @ Ninth Line,43.574543,-79.78685
02505,Hwy. 35 @ Hwy. 115 Park & Ride,44.064003,-78.6258087
02504,Peterborough Rd. 10 @ Hwy. 115 Park & Ride,44.1872025,-78.4643936
02503,Crawford Dr. @ Harper Rd. Park & Ride,44.2678642,-78.3492737
02502,Peterborough Bus Terminal,44.3045998,-78.3224182
02501,Trent University,44.3569412,-78.2870331
02413,Georgetown GO Bus,43.6560287,-79.9186783
02412,Main St. S. @ Ridge Rd.,43.61085,-80.13266
02408,Niagara Falls Bus Terminal,43.1085358,-79.0636063
02406,Casablanca Blvd. @ QEW Park & Ride,43.2047997,-79.5964279
02405,Stanley Ave. @ Hwy. 420 Park & Ride,43.097245,-79.08507
02404,Stanley Ave. @ Hwy. 420 Park & Ride,43.097075,-79.084885
02402,St. Catharines Fairview Mall,43.178627,-79.2452545
02300,Union Station Bus Terminal,43.644042,-79.376939
02215,Erin Mills Transitway Station,43.552124,-79.7004547
02214,Erin Mills Transitway Station,43.5520363,-79.7003021
02209,Renforth Dr. @ Convair Dr.,43.6723671,-79.5936432
02208,Renforth Dr. @ Convair Dr.,43.6720657,-79.5930939
02205,Weber St. E. @ Montgomery Rd.,43.4387054,-80.4595566
02204,Weber St. E. @ Montgomery Rd.,43.4387245,-80.4601898
02202,Yonge St. @ Victoria St.,44.3249016,-79.6195755
02194,Main St. @ Westlawn Cres.,43.9685707,-79.2601318
02193,Main St. @ Weldon Rd.,43.9682426,-79.2604752
02192,Main St. @ Sandale Rd.,43.9662666,-79.2703018
02191,Main St. @ Sandiford Dr.,43.9659386,-79.2708511
02190,Hwy. 48 @ Hoover Park Dr.,43.9569321,-79.2795105
02189,Hwy. 48 @ Hoover Park Dr.,43.9565964,-79.2791214
02186,Kitchener GO Bus,43.455573,-80.492543
02185,Main St. W. @ Haddon Ave. S.,43.258091,-79.91185
02184,Sportsworld Dr. @ Hwy. 8 Park & Ride,43.4099274,-80.3925095
02177,Main St. @ Tenth Line,43.9745674,-79.2321472
02176,Keele St. @ Peak Point Blvd.,43.8872604,-79.5200119
02175,Keele St. @ Peak Point Blvd.,43.8868027,-79.5196609
02174,Williams Pkwy. @ Hwy. 410 Park & Ride,43.716468,-79.751376
02173,Keele St. @ Kirby Rd.,43.8918114,-79.5210342
02172,Keele St. @ Kirby Rd.,43.8916321,-79.5207977
02171,Tenth Line @ Sleepy Hollow Ln.,44.0002556,-79.2371979
02170,Tenth Line @ Sleepy Hollow Ln.,44.0000153,-79.2369232
02163,Trafalgar Rd. @ Hwy. 407 Park & Ride,43.506545,-79.745813
02162,Hwy. 2 @ Hwy. 35/115 Park & Ride,43.91301,-78.612533
02160,Bradford GO Bus,44.116654,-79.555752
02159,Keele St. @ Church St.,43.852829,-79.5120239
02158,Major Mackenzie Dr. W. @ Keele St.,43.8550568,-79.5116119
02157,Maple GO Bus,43.859853,-79.505926
02153,Wilfrid Laurier University,43.4752655,-80.5272827
02151,Regional Rd. 25 @ Hwy. 401 Park & Ride,43.5274849,-79.9038162
02150,Cambridge Smart Centre,43.4117165,-80.3236008
02148,Wilfrid Laurier University,43.4751816,-80.5279999
02145,Yonge St. @ London Rd.,44.0641289,-79.4824982
02144,YMCA Blvd. @ Kennedy Rd.,43.8535728,-79.3085709
02141,YMCA Blvd. @ Kennedy Rd.,43.8532639,-79.3093185
02139,Keele St. @ Barrhill Rd.,43.8502159,-79.5112076
02127,Yonge St. @ Clark Ave. E.,43.8069839,-79.4221497
02126,Main St. @ Stouffer St.,43.9733505,-79.2380981
02118,Yonge St. @ Mortonvale Dr.,44.1003456,-79.4911728
02117,Tenth Line @ Aintree Dr.,43.9778366,-79.2319031
02116,Queen St. N. @ Columbia Way,43.8915863,-79.754982
02113,Hwy. 48 @ 16th Ave.,43.8920631,-79.2641983
02112,Main St. N. @ 16th Ave.,43.8919067,-79.2639542
02111,Bullock Dr. @ Laidlaw Blvd.,43.8744316,-79.2800446
02110,Bullock Dr. @ Laidlaw Blvd.,43.874855,-79.2794647
02109,Bullock Dr. @ McCowan Rd.,43.8729172,-79.2848587
02108,Bullock Dr. @ McCowan Rd.,43.8728409,-79.2855911
02107,Upper Canada Mall,44.0579948,-79.4808884
02105,Yonge St. @ Green Ln. W. (Green Lane Centre),44.0712051,-79.4845886
02104,Yonge St. @ Green Ln. E. (Silver City),44.0705605,-79.4841385
02101,Yonge St. @ Spruce Ave.,43.8511429,-79.4323959
02100,Yonge St. @ Yongehurst Dr.,43.8627815,-79.4354706
02096,Yonge St. @ Weldrick Rd. W.,43.8605232,-79.4349365
02095,Yonge St. @ Weldrick Rd. E.,43.859993,-79.4343033
02092,Yonge St. @ Uplands Ave.,43.8269348,-79.4267807
02088,Yonge St. @ Thornhill Ave.,43.8253212,-79.4267273
02081,Yonge St. @ Scott Dr.,43.8467216,-79.4316711
02079,Yonge St. @ Royal Orchard Blvd.,43.8227158,-79.4257965
02078,Yonge St. @ Royal Orchard Blvd.,43.8223343,-79.426033
02072,Yonge St. @ Observatory Ln.,43.8581696,-79.4340744
02071,Yonge St. @ Oak Ave.,43.8500443,-79.4324112
02069,Yonge St. @ Northern Heights Dr.,43.849144,-79.4318695
02068,Yonge St. @ North St.,44.0976105,-79.4905701
02067,Yonge St. @ North St.,44.0978394,-79.4906998
02058,Yonge St. @ Meadowview Ave.,43.8020096,-79.4213104
02057,Yonge St. @ May Ave.,43.8640823,-79.4357605
02056,Yonge St. @ May Ave.,43.8639069,-79.435379
02052,Yonge St. @ Major Mackenzie Dr. E.,43.8708229,-79.4369049
02046,Yonge St. @ Kingston Rd.,44.0609932,-79.4816971
02043,Yonge St. @ John St.,43.8139114,-79.4238434
02035,Yonge St. @ Hopkins St.,43.8696709,-79.4370117
02033,Yonge St. @ High Tech Rd.,43.8415108,-79.4304962
02032,Yonge St. @ High Tech Rd.,43.8413315,-79.4300156
02029,Yonge St. @ Harding Blvd. W.,43.8667831,-79.4363785
02028,Yonge St. @ Harding Blvd.,43.8663788,-79.4359741
02027,Yonge St. @ Green Ln. E.,44.0726738,-79.4845963
02024,Yonge St. @ Glen Cameron Rd.,43.8051033,-79.4217148
02023,Yonge St. @ Glen Cameron Rd.,43.8057404,-79.4222031
02021,Yonge St. @ Garden Ave.,43.8384552,-79.4297791
02019,Yonge St. @ Elmwood Ave.,43.8692818,-79.4366684
02018,Yonge St. @ Elgin St.,43.810688,-79.4231033
02015,Yonge St. @ Edgar Ave.,43.8484573,-79.4321365
02012,Yonge St. @ Doncaster Ave.,43.8016968,-79.4208908
02010,Yonge St. @ Dawson Manor Blvd.,44.0614586,-79.4821243
02004,Yonge St. @ Clark Ave. W.,43.807312,-79.4226227
02003,Yonge St. @ Clarissa Dr.,43.8620453,-79.4350204
01998,Yonge St. @ Centre St.,43.8164711,-79.4247208
01997,Yonge St. @ Bunker Rd.,43.8288956,-79.4272919
01996,Yonge St. @ Bunker Rd.,43.8289528,-79.4275894
01994,Yonge St. @ Bristol Rd.,44.0678329,-79.4833374
01993,Yonge St. @ Bonshaw Ave.,44.0646324,-79.4830322
01988,Yonge St. @ Beresford Dr.,43.8440056,-79.430687
01987,Yonge St. @ Bay Thorn Dr.,43.8248672,-79.4262924
01986,Yonge St. @ Bantry Ave.,43.846859,-79.4313583
01985,Yonge St. @ Baif Blvd. (Hillcrest Mall),43.8587418,-79.4345093
01982,Yonge St. @ Aspenwood Dr.,44.0681725,-79.4838028
01979,Yonge St. @ Carrville Rd.,43.8532715,-79.4332428
01974,Toll Rd. @ Oriole Dr.,44.1052742,-79.5132294
01973,Toll Rd. @ Oriole Dr.,44.1051941,-79.5132675
01972,Toll Rd. @ Centennial Ave.,44.103157,-79.5050201
01971,Toll Rd. @ Centennial Ave.,44.1031227,-79.505188
01970,Toll Rd. @ Bradford St.,44.1004219,-79.4975357
01969,Toll Rd. @ Bradford St.,44.1004066,-79.4977875
01926,Main St. @ Stouffer St.,43.9731178,-79.2386246
01925,Main St. @ Market St.,43.9712067,-79.2472229
01924,Main St. @ Church St. N.,43.9717598,-79.2452011
01905,Langstaff Rd. E. @ Bayview Ave.,43.8346367,-79.4062042
01888,Keele St. @ Teston Rd.,43.8732071,-79.5163879
01887,Keele St. @ Teston Rd.,43.8736916,-79.5169067
01878,Keele St. @ Drummond Dr.,43.8680077,-79.5155106
01877,Keele St. @ Drummond Dr.,43.8673172,-79.5149994
01861,Hwy. 7 @ Swansea Rd.,43.8641014,-79.2980042
01860,Hwy. 7 @ Swansea Rd.,43.8637314,-79.2985458
01825,Yonge St. @ Old Yonge St.,44.082943,-79.4870758
01807,Bullock Dr. @ Hwy. 7,43.8656082,-79.2921219
01806,Bullock Dr. @ Hwy. 7,43.8661575,-79.2920685
